aruandeaasta,annual_report_id,veehaardekood,veehaardenimetus,jaamakood,jaamanimi,markused,aastakokku,jaanuar,veebruar,marts,aprill,mai,juuni,juuli,august,september,oktoober,november,detsember
2022,50117,PIH0000030,EEJ juurdevoolukanal (EEJ kalda pumbajaam nr 1 ja nr 2),,,,448825768,29237664,11702002,30750059,16011974,26648542,41519981,50878628,64449879,50477112,39894402,42372259,44883266
2022,50117,PIH0000144,Eesti EJ juurdevoolukanal (Eesti EJ esimese astme pumbajaam),VHP0001263,EEJ Filterjaama plokk,,1226843,116942,86434,107789,105650,100392,91999,104304,91098,94016,101883,110297,116039
2022,50117,PIH0000145,Eesti EJ suletud tehnoloogiline kanal,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,50404,PIH0000040,Balti EJ,,,,176993572,15686000,10273000,13159000,13477000,16250000,19609000,16459253,9990319,17818000,17936000,13136000,13200000
2022,50412,PIH0000079,Mustajõe,VHP0000406,Narva VTJ,,2936830,264630,235560,270500,252880,261750,234110,242850,235510,221800,233520,233680,250040
2022,50458,PIH0000081,Energeetik,,,,993,0,0,0,69,104,258,269,222,71,0,0,0
2022,50704,PIH0000228,Vooremäe lumetootmine,,,,1440,0,0,0,0,0,0,0,0,0,0,900,540
2022,50841,PIH0000167,Nüpli järv,,,,3000,1000,0,0,0,0,0,0,0,0,0,800,1200
2022,50841,PIH0000087,Arula tehisjärv,,,,2900,0,0,0,0,0,0,0,0,0,0,1100,1800
2022,50845,PIH0000191,Lubja pinnaveehaare,,,,2100,500,300,0,0,0,0,0,0,0,0,200,1100
2022,50856,PIH0000180,Vääna Puukool,,,,17251,0,0,0,0,1932,4863,5237,3984,1041,194,0,0
2022,50880,PIH0000071,Sillamäe merevee pumpla 1,,,,4138582,535540,462473,548158,547968,369094,526072,326737,435262,217512,89772,39447,40547
2022,50880,PIH0000052,Sõtke pumpla 1,,,,1221167,118337,100057,105305,93792,81118,70865,115641,118908,80834,99965,109793,126552
2022,50906,PIH0000232,Pannjärve,,,,144,0,0,0,0,0,0,0,0,0,0,0,144
2022,50916,PIH0000170,Kotka kalakasvatus,,,,101520,0,0,0,0,13680,21600,22320,22320,21600,0,0,0
2022,50942,PIH0000070,tsemenditehas,,,,191306,17799,12874,11677,7571,15783,24664,19782,19941,18008,17853,10965,14389
2023,51285,PIH0000069,Reiu taimla,,,,557,0,0,0,61,84,116,112,98,86,0,0,0
2023,51367,PIH0000141,PIH0000141 - Laatre suurfarmi pinnaveehaare,,,,4000,0,0,0,0,400,1000,1000,1000,600,0,0,0
2023,51456,PIH0000173,Põltsamaa jõe veehaare Uuevälja külas,,,,3170,0,0,0,0,900,1500,770,0,0,0,0,0
2023,51476,PIH0000077,Silikaadi veehaare Pumbajärvel,,,Kivitsehhi tootmine lõpetatud. Pumplat kasutatakse vaid tuletõrje hüdrantide toiteks.,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,51485,,,,,Ei toimu pinna-ja mereveeõttu,,,,,,,,,,,,,
2023,51625,PIH0000158,OÜ Voorepealse köögiviljad veevõtukoht,,,,520,0,0,0,100,100,200,120,0,0,0,0,0
2023,51645,PIH0000079,Mustajõe,VHP0000406,Narva VTJ,,2915520,257090,228260,256500,251250,249630,234010,229300,237760,230860,248130,241120,251610
